synidaemi	launaflokkur	threp	aldursflokkur	kennsluskylda	skertur	vinnumat	ryrnun	afangafjoldi	einingar	nemendafjoldi	vinnuskylda	laun
Raungreinar	5	4	30 ára-	24	False	694.0	0.0	4	12	18	720	502955.333333
Raungreinar	6	4	30 ára-	24	True	666.24	27.76	4	12	18	720	527585.333333
Raungreinar	6	4	30 ára-	24	False	694.0	0.0	4	12	18	720	527585.333333
Raungreinar	10	4	55-59 ára	23	True	666.24	27.76	4	12	18	667	639056.333333
Raungreinar	10	4	55-59 ára	23	False	694.0	0.0	4	12	18	667	668438.130931
Raungreinar	10	4	60 ára+	19	True	666.24	27.76	4	12	18	551	764462.198338
Raungreinar	10	4	60 ára+	19	False	694.0	0.0	4	12	18	551	794671.039128
Raungreinar	9	4	38-54 ára	24	True	666.24	27.76	4	12	18	696	609117.333333
Raungreinar	9	4	38-54 ára	24	False	694.0	0.0	4	12	18	696	609117.333333
Raungreinar	10	4	38-54 ára	24	True	666.24	27.76	4	12	18	696	639056.333333
Raungreinar	10	4	38-54 ára	24	False	694.0	0.0	4	12	18	696	639056.333333
Raungreinar	7	4	30-37 ára	24	True	666.24	27.76	4	12	18	708	553447.333333
Raungreinar	7	4	30-37 ára	24	False	694.0	0.0	4	12	18	708	553447.333333
Raungreinar	8	4	30-37 ára	24	True	666.24	27.76	4	12	18	708	580604.333333
Raungreinar	8	4	30-37 ára	24	False	694.0	0.0	4	12	18	708	580604.333333
Stærðfræði	5	4	30 ára-	24	True	637.44	26.56	4	12	18	720	502955.333333
Stærðfræði	5	4	30 ára-	24	False	664.0	0.0	4	12	18	720	502955.333333
Stærðfræði	6	4	30 ára-	24	True	637.44	26.56	4	12	18	720	527585.333333
